index,1 days,5 days,10 days,15 days,20 days,25 days,30 days,35 days,40 days,45 days,50 days,55 days,60 days,65 days,70 days,75 days,80 days,85 days,90 days
2014-12-29,1.5310254,1.3517766,1.0425518,1.3157644,1.1275971,1.2546875,1.0913062,1.0980201,1.2987049,1.1629155,1.1258345,1.2690556,1.1745515,1.2550952,1.2222672,1.128835,1.0604358,1.3059032,1.3276415
2014-12-30,1.4309671,1.1385791,0.8636389,1.3196654,0.93379354,1.0968828,0.8209002,0.8706205,1.0544958,0.77973604,0.99565053,1.0916195,0.8241844,1.0404899,1.0612977,0.9678993,0.974143,1.1415689,1.2477798
2014-12-31,1.5212588,1.1954577,0.82605076,1.4364634,0.9984226,1.0249016,1.040103,0.96863866,1.0055747,0.758939,0.9329479,1.0967681,0.8829303,1.2589478,1.2351649,1.0409565,0.96667504,1.195962,1.2649522
2015-01-01,1.6215935,1.260575,0.8787198,1.3878753,0.93812656,1.0259764,0.9324126,1.1145773,0.95348287,0.9685025,1.038274,1.0631578,0.80265,1.3278217,1.1678221,1.0147986,0.81745076,1.2458191,1.2308245
2015-01-02,1.3921225,1.0748441,0.57980967,1.1508532,0.74713635,0.8375063,0.86983514,1.0116196,1.0017254,1.0458698,1.0059421,1.1908922,1.0504179,1.4246542,1.4257684,1.2079916,1.0680847,1.448739,1.4970498
2015-01-03,1.3813314,1.0178583,0.5262022,1.1329744,0.6844938,0.7111385,0.81126094,0.96971107,0.906199,0.9286647,0.97260666,1.1276517,0.8997352,1.3508518,1.3627434,1.1856961,0.970556,1.3098819,1.3964064
2015-01-04,1.3113136,1.0854108,0.6324003,0.9708388,0.7486329,0.8164077,0.87298274,1.0907447,1.1433427,1.1247065,1.0626106,1.203259,1.15224,1.4456458,1.423322,1.2637973,1.1060097,1.4728076,1.4866092
2015-01-05,1.3959942,1.1766734,0.82883096,1.1008556,0.90201473,1.0216503,0.8477044,1.0305748,1.1239493,1.0853698,1.1836538,1.2606263,0.9959214,1.2137084,1.2243774,1.1651568,1.0793777,1.2750363,1.4439399
2015-01-06,1.3812017,1.2047813,0.8573618,1.0588305,0.888669,1.021549,0.807271,1.0721753,1.1714592,1.0415299,1.198744,1.201263,1.0035288,1.2152205,1.1946504,1.1891046,1.105159,1.3130414,1.4375494
2015-01-07,1.2881472,1.2065692,0.8036773,1.0854976,0.9666877,1.0617425,0.9537525,1.1093099,1.2614937,1.1633546,1.1931114,1.2604678,1.2275391,1.3669596,1.3788769,1.2357461,1.1847699,1.4340258,1.5348635
2015-01-08,1.4276013,1.255822,0.9194217,1.2147255,1.0293996,1.154347,0.9048159,1.083493,1.1520736,1.1192837,1.2469354,1.2946265,1.0038154,1.2093446,1.2148294,1.1040382,1.113924,1.252811,1.4823723
2015-01-09,1.4937317,1.303294,1.0980139,1.2661579,1.0713305,1.2501056,0.9045689,1.0407035,1.1952789,0.9905062,1.1364927,1.2243724,0.8794484,1.0616984,1.0552487,1.0072532,1.0063069,1.1555691,1.23295
2015-01-10,1.3663781,1.0851893,0.82405543,1.242341,0.8197279,0.9560816,0.8046477,0.88090444,1.0374873,0.693666,0.91360855,1.0362277,0.74475884,1.0629227,1.0657828,0.96773076,0.91677284,1.1157022,1.1460927
2015-01-11,1.3105993,1.1000845,0.70908594,1.1389592,0.8634963,0.9261615,0.971946,0.98348,1.1566746,1.0186138,0.9688387,1.1092396,1.1097593,1.2727864,1.2599864,1.0630245,0.998997,1.2792311,1.3482158
2015-01-12,1.3686929,1.0654309,0.66329956,1.1664996,0.7715516,0.8490064,0.90195155,0.91954136,1.0068583,0.970546,0.9317434,1.0652182,0.9586687,1.2119806,1.2072253,1.0269871,0.9482572,1.2851555,1.2903149
2015-01-13,1.4431436,1.1772957,0.70568204,1.1667795,0.8114443,0.8846972,0.9636848,1.0569308,1.0928102,1.13522,1.0453172,1.195369,1.0911472,1.3692489,1.3706727,1.1521318,1.0190649,1.3909483,1.3876505
2015-01-14,1.4783359,1.2481158,0.77576447,1.1505632,0.84206676,0.9441712,0.94948316,1.1639695,1.1518407,1.2228091,1.1669846,1.2160511,1.1015542,1.4173517,1.3710134,1.1558895,1.0211563,1.4102998,1.4128094
2015-01-15,1.4236765,1.2669685,0.87210107,1.0791626,0.8967159,0.99375844,0.97872543,1.2127585,1.2975719,1.246002,1.2098248,1.2158844,1.1839566,1.400435,1.3680689,1.2020996,1.1024017,1.4550087,1.3919971
2015-01-16,1.5201836,1.5048535,1.1590395,1.2350605,1.1766531,1.2104688,1.2219839,1.3663619,1.5083969,1.3754809,1.3597918,1.3094118,1.3428235,1.462034,1.405622,1.2973213,1.2166891,1.476502,1.4196022
2015-01-17,1.5138402,1.4166429,1.134279,1.247158,1.1282778,1.1345046,1.1329985,1.2634256,1.3660007,1.2820611,1.2681077,1.3044577,1.1816869,1.2924831,1.3198895,1.2464321,1.1766849,1.3580377,1.3659027
2015-01-18,1.417108,1.2999136,0.99591255,1.1161613,1.0239863,1.0352461,1.0618131,1.177115,1.290106,1.1874554,1.0924385,1.2368066,1.1160686,1.2370603,1.2270229,1.1291711,1.0540783,1.2603164,1.2619231
